"DisplayName","ServiceName","StartType","Status"
"AllJoyn Router Service","AJRouter","Manual","Stopped"
"Application Layer Gateway Service","ALG","Manual","Stopped"
"Application Identity","AppIDSvc","Manual","Stopped"
"Application Information","Appinfo","Manual","Running"
"Application Management","AppMgmt","Manual","Stopped"
"App Readiness","AppReadiness","Manual","Stopped"
"Microsoft App-V Client","AppVClient","Disabled","Stopped"
"AppX Deployment Service (AppXSVC)","AppXSvc","Manual","Running"
"AssignedAccessManager Service","AssignedAccessManagerSvc","Manual","Stopped"
"Windows Audio Endpoint Builder","AudioEndpointBuilder","Automatic","Running"
"Windows Audio","Audiosrv","Automatic","Running"
"ActiveX Installer (AxInstSV)","AxInstSV","Manual","Stopped"
"GameDVR and Broadcast User Service_346ae","BcastDVRUserService_346ae","Manual","Stopped"
"BitLocker Drive Encryption Service","BDESVC","Manual","Stopped"
"Base Filtering Engine","BFE","Automatic","Running"
"Background Intelligent Transfer Service","BITS","Manual","Stopped"
"Bluetooth User Support Service_346ae","BluetoothUserService_346ae","Manual","Stopped"
"Background Tasks Infrastructure Service","BrokerInfrastructure","Automatic","Running"
"Bluetooth Audio Gateway Service","BTAGService","Manual","Stopped"
"AVCTP service","BthAvctpSvc","Manual","Stopped"
"Bluetooth Support Service","bthserv","Manual","Stopped"
"Capability Access Manager Service","camsvc","Manual","Stopped"
"CaptureService_346ae","CaptureService_346ae","Manual","Stopped"
"Clipboard User Service_346ae","cbdhsvc_346ae","Manual","Running"
"Connected Devices Platform Service","CDPSvc","Automatic","Running"
"Connected Devices Platform User Service_346ae","CDPUserSvc_346ae","Automatic","Running"
"Certificate Propagation","CertPropSvc","Manual","Stopped"
"Client License Service (ClipSVC)","ClipSVC","Manual","Running"
"COM+ System Application","COMSysApp","Manual","Running"
"ConsentUX_346ae","ConsentUxUserSvc_346ae","Manual","Stopped"
"CoreMessaging","CoreMessagingRegistrar","Automatic","Running"
"Cryptographic Services","CryptSvc","Automatic","Running"
"Offline Files","CscService","Manual","Stopped"
"DCOM Server Process Launcher","DcomLaunch","Automatic","Running"
"Optimize drives","defragsvc","Manual","Stopped"
"Device Association Service","DeviceAssociationService","Manual","Stopped"
"Device Install Service","DeviceInstall","Manual","Stopped"
"DevicePicker_346ae","DevicePickerUserSvc_346ae","Manual","Stopped"
"DevicesFlow_346ae","DevicesFlowUserSvc_346ae","Manual","Stopped"
"DevQuery Background Discovery Broker","DevQueryBroker","Manual","Stopped"
"DHCP Client","Dhcp","Automatic","Running"
"Microsoft (R) Diagnostics Hub Standard Collector Service","diagnosticshub.standardcollector.service","Disabled","Stopped"
"Diagnostic Execution Service","diagsvc","Manual","Stopped"
"Connected User Experiences and Telemetry","DiagTrack","Automatic","Running"
"Display Enhancement Service","DisplayEnhancementService","Manual","Stopped"
